연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-00655,신청기업,(주)공진,1238146502,"윤규중, 윤지우","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",경기 군포시 당정로 10(당정동),55,2276666.667,경기도,2.7,53.8,11.4,10.6,1,3.3,2.4,1,0,,1,0,2.7
2022-00033,신청기업,(주)골든블루,6218154923,김동욱,C.제조업(10~34),알코올음료 제조업,부산 기장군 정관읍 농공길 89-2((주)천년약속),255,2500000,부산광역시,2.3,-12,11.1,41,1.1,2.2,2.6,0,0,,0,0,2.3
2022-02651,이노비즈기업,(주)고바이오랩,1198692996,"고광표, 박철원","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"서울특별시 관악구 관악로1(신림동, 서울대학교생명공학공동연구원) 220동630호",48,3333333.333,서울특별시,2.5,NA,-22.4,14.7,NA,2.9,2.3,0,0,,1,0,2.5
2022-00112,신청기업,(주)경문엔터테인먼트,1098604160,송종운,G.도매 및 소매업(45~47),생활용품 도매업,"경기도 부천시 삼작로164번길 38,2층 (내동)",16,2100000,경기도,3.5,12,11,134.4,3.7,3.5,3,0,0,,0,0,3.5
2022-12467,메인비즈기업,(주)강남캐피탈대부,2208151816,지흥진,K.금융 및 보험업(64~66),기타 금융업,서울 강남구 테헤란로 111(역삼동) 대건빌딩 6층 602호,14,3855833.333,서울특별시,1.5,-18.6,2.5,216.4,NA,2.5,1,1,1,,1,0,1.5
2022-00124,신청기업,(주)가온테크,1378614251,송길섭,C.제조업(10~34),일반 목적용 기계 제조업,경기도 김포시 양촌읍 황금로127번길 135(양촌읍),24,2888333.333,경기도,2.3,13.5,1.8,618.6,0.5,2.3,2,0,0,,0,0,2.3
2022-10778,메인비즈기업,(주)가람티엠에스,6098180964,김정숙,L.부동산업(68),부동산 관련 서비스업,"경상남도 김해시 월산로 111-67501호 (부곡동, 신하프라자)",50,2090000,경상남도,NA,-30.6,9.1,8.3,3.7,NA,NA,0,0,,0,0,NA
2022-00094,신청기업,(주)TSR,5138102008,"류한광, 이준엽",C.제조업(10~34),고무제품 제조업,경북 구미시 수출대로7길 11(공단동),157,2895333.333,경상북도,2.6,-24.2,3.5,147.3,1,2.5,2.8,1,0,,0,0,2.6
2022-00061,신청기업,(주) 파커스 인터내셔널,1288606887,박의철/박인철,G.도매 및 소매업(45~47),상품 종합 도매업,"서울특별시 강서구 강서로 466,703,704호 (등촌동, 우리벤처타운)",10,2792500,서울특별시,4.5,319.6,25.9,74.1,2.4,5,3,0,0,,1,0,4.5
2022-07024,이노비즈기업,(주) 알루이엔씨,1348168452,홍성철,F.건설업(41~42),건설업본사(소분류),서울 송파구 백제고분로9길 10빌딩 5층 (잠실동),72,2745000,서울특별시,2.5,-1.4,4.1,101,2.4,2.8,2.5,1,1,,1,0,2.5
2022-10413,메인비즈기업,(주) 봉황,3168115275,이봉춘,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,충남 서산시 대산읍 독곶리452-5번지,12,4626666.667,충청남도,NA,2147.2,3.7,195.5,1.7,NA,NA,1,1,,0,0,NA
2022-14989,가족친화인증기업,(재)전라남도정보문화산업진흥원,4118210121,이준근,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,전라남도 나주시 빛가람로 7772층 (전남실감미디어산업지원센터),45,2500000,전라남도,3,-58.3,0.9,695.4,0.1,3,2.5,1,0,,0,0,3
2022-10116,메인비즈기업,(유한)대신종합개발,4118109331,김광희,L.부동산업(68),부동산 관련 서비스업,전라남도 무안군 삼향읍 남악로 234(삼향읍) 트리폴리앙프라자 A동 4층 410호,258,876666.6667,전라남도,NA,-31,1.5,80.7,0.9,NA,NA,0,0,,1,0,NA
2022-10641,메인비즈기업,(유)은광산업개발,4048114383,전형기,B.광업(05~08),토사석 광업,전북 고창군 부안면 검산리산 75번지,18,3693333.333,전라북도,NA,-74.6,1.8,147.3,0.7,NA,NA,0,0,,1,0,NA
2022-14240,사회적기업,(유)열린사회서비스센터,2248142129,백명화,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,강원 횡성군 횡성읍 어사매로 41,64,NA,전라북도,NA,58.4,23.5,111.1,2.8,NA,NA,1,1,,0,0,NA
2022-14488,사회적기업,석광산업 ㈜,2258115488,박종찬,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",그 외 기타 개인 서비스업,강원도 정선군 고한읍 고한로 1912동 2층,236,2677500,강원도,1,-68.3,0.1,2464.1,2.2,4,2,1,0,,1,0,1
2022-10443,메인비즈기업,(유)성원엘리베이터,4028186315,"남미현,양해정","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,전라북도 전주시 덕진구 신흥안길 52,28,2615000,전라북도,1,28.7,11.3,79.5,2.4,1,1,1,0,,1,0,1
2022-10796,메인비즈기업,(유)삼려환경,4178116112,장정근,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",전남 여수시 소라면 의곡길 115,20,3024166.667,전라남도,NA,-39.1,7.8,31.7,0.6,NA,NA,1,1,,1,0,NA
2022-14248,사회적기업,(유)나눔,2268138000,권순란,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,강원도 강릉시 하평5길 9-0(포남동) 1층,NA,NA,강원도,NA,NA,5.4,35.7,3.8,NA,NA,1,1,,0,0,NA
2022-14456,사회적기업,(사) 대한생활체육지도자연합회,1108212075,이종덕,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,서울 서대문구 홍은중앙로 13B1층 (홍은동),33,2500000,서울특별시,NA,NA,-11.3,145.4,0.9,NA,NA,1,0,,1,0,NA
